
Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal
Abrantes,3927,N,00811,W,ABRAN,39.45,-8.183333
Academia Militar Lisboa,3843,N,00908,W,ACMIL,38.716667,-9.133333
Agucadoura,4125,N,00846,W,AGUSA,41.416667,-8.766667
Aguda,4102,N,00839,W,AGUDA,41.033333,-8.65
Agueda,4034,N,00826,W,AGUED,40.566667,-8.433333
Aguieira,4020,N,00811,W,AGUIE,40.333333,-8.183333
Alandroal,3842,N,00724,W,ALOAL,38.7,-7.4
Albergaria-A-Velha,4041,N,00828,W,ALVEL,40.683333,-8.466667
Albernoa,3751,N,00757,W,ALBER,37.85,-7.95
Albufeira,3705,N,00814,W,ALBUF,37.083333,-8.233333
Albufeira Do Azibo,4135,N,00654,W,ALAZI,41.583333,-6.9
Alcacer Do Sal,3822,N,00830,W,ADSAL,38.366667,-8.5
Alcacovas,3823,N,00809,W,ALVAS,38.383333,-8.15
Alcains,3954,N,00727,W,ALCAI,39.9,-7.45
Alcanena,3927,N,00840,W,ALCAN,39.45,-8.666667
Alcaria (Fundao),4011,N,00731,W,ALCAR,40.183333,-7.516667
Alcobaca,3932,N,00858,W,ALCOB,39.533333,-8.966667
Alcochete,3845,N,00857,W,ALCHE,38.75,-8.95
Alcoentre,3912,N,00857,W,ALCOE,39.2,-8.95
Alcoutim,3728,N,00728,W,ALCOU,37.466667,-7.466667
Aldeia Da Ponte,4024,N,00652,W,APONT,40.4,-6.866667
Aldeia Do Bispo,4019,N,00650,W,ABISP,40.316667,-6.833333
Aldeia Nova S. Bento (Serpa),3755,N,00724,W,ANSBT,37.916667,-7.4
Alenquer,3902,N,00859,W,ALENQ,39.033333,-8.983333
Alfandega Da Fé,4120,N,00657,W,ALFFE,41.333333,-6.95
Alfena,4114,N,00829,W,ALFEN,41.233333,-8.483333
Alfragide,3844,N,00913,W,ALFRG,38.733333,-9.216667
Alges,3842,N,00913,W,ALGES,38.7,-9.216667
Algoso,4128,N,00634,W,ALGSO,41.466667,-6.566667
Alhandra,3855,N,00900,W,ALHAN,38.916667,-9.0
Alhos Vedros,3838,N,00900,W,AVEDR,38.633333,-9.0
Alijo Ad,4119,N,00727,W,ALIJO,41.316667,-7.45
Aljezur,3719,N,00848,W,ALZUR,37.316667,-8.8
Aljustrel,3752,N,00809,W,ALJUS,37.866667,-8.15
Almada,3840,N,00909,W,ALMAD,38.666667,-9.15
Almancil,3705,N,00801,W,ALCIL,37.083333,-8.016667
Almeirim,3912,N,00837,W,ALMEI,39.2,-8.616667
Almendra,4059,N,00703,W,ALMEN,40.983333,-7.05
Almodovar,3730,N,00803,W,ALMOD,37.5,-8.05
Almourol (Castelo),3927,N,00823,W,ALMOU,39.45,-8.383333
Alpalhao (Nisa),3924,N,00737,W,ALPAL,39.4,-7.616667
Alpiarca,3915,N,00834,W,ALPIA,39.25,-8.566667
Alter Do Chao,3912,N,00739,W,ALTER,39.2,-7.65
Alto Mira (Central Eletrica),3846,N,00914,W,ALMIR,38.766667,-9.233333
Altura,3710,N,00730,W,ALTUR,37.166667,-7.5
Alvalade,3756,N,00823,W,ALADE,37.933333,-8.383333
Alvarenga,4058,N,00809,W,ALVAR,40.966667,-8.15
Alverca,3852,N,00901,W,ALVER,38.866667,-9.016667
Alvito,3815,N,00759,W,ALVIT,38.25,-7.983333
Alvor,3707,N,00835,W,ALVOR,37.116667,-8.583333
